brand,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Hyundai,2017,20000,Petrol,Individual,Manual,Second Owner,540000
Mahindra,2016,25000,Petrol,Individual,Manual,First Owner,425000
Maruti,2008,120000,Petrol,Individual,Manual,First Owner,140000
Maruti,2019,30000,Diesel,Individual,Manual,First Owner,1100000
Renault,2015,35000,Diesel,Individual,Manual,First Owner,715000
Audi,2013,86000,Diesel,Dealer,Automatic,First Owner,1580000
Audi,2015,127643,Diesel,Dealer,Automatic,First Owner,1750000
Tata,2018,54000,Petrol,Dealer,Manual,Second Owner,400000
Audi,2014,102354,Diesel,Dealer,Automatic,First Owner,1750000
Audi,2014,62237,Petrol,Dealer,Automatic,First Owner,1850000
Hyundai,2005,90000,Petrol,Dealer,Manual,Second Owner,114999
Ford,2018,21394,Diesel,Dealer,Manual,First Owner,950000
Datsun,2015,32686,Petrol,Dealer,Manual,First Owner,310000
Mahindra,2006,1001,Diesel,Dealer,Manual,First Owner,575000
Renault,2017,22000,Diesel,Dealer,Manual,First Owner,490000
Hyundai,2017,53261,Petrol,Dealer,Manual,First Owner,480000
Land,2016,53000,Diesel,Dealer,Automatic,First Owner,3500000
Renault,2018,10000,Petrol,Dealer,Manual,First Owner,370000
Maruti,2017,14000,Diesel,Dealer,Manual,First Owner,835000
Volkswagen,2017,44000,Petrol,Dealer,Manual,First Owner,650000
Toyota,2014,39895,Diesel,Dealer,Manual,First Owner,670000
Chevrolet,2017,73000,Diesel,Dealer,Automatic,First Owner,950000
Honda,2014,17000,Petrol,Dealer,Manual,First Owner,690000
Volkswagen,2017,18591,Petrol,Dealer,Manual,First Owner,670000
Tata,2017,26766,Diesel,Dealer,Manual,First Owner,925000
Hyundai,2015,30000,Petrol,Individual,Manual,First Owner,250000
Tata,2016,42000,Diesel,Individual,Manual,First Owner,509999
Honda,2014,110000,Diesel,Individual,Manual,First Owner,520000
Tata,2005,100000,Diesel,Individual,Manual,First Owner,100000
Tata,2006,300000,Diesel,Individual,Manual,Second Owner,85000
Tata,2009,110000,Diesel,Individual,Manual,Third Owner,130000
Ford,2018,27620,Diesel,Dealer,Manual,First Owner,950000
Ford,2015,70000,Petrol,Individual,Manual,First Owner,450000
Honda,2012,50000,Petrol,Individual,Manual,Second Owner,320000
Maruti,2015,50000,Diesel,Individual,Manual,First Owner,480000
Mercedes-Benz,2014,46000,Diesel,Individual,Automatic,First Owner,2490000
Toyota,2012,82000,Diesel,Individual,Manual,First Owner,790000
Maruti,2016,120000,Petrol,Individual,Manual,First Owner,120000
Maruti,2006,80000,Petrol,Individual,Manual,Third Owner,75000
Tata,2010,70000,Petrol,Individual,Manual,First Owner,99000
Maruti,2018,20000,Diesel,Individual,Manual,First Owner,1015000
Mahindra,2013,200000,Diesel,Individual,Manual,Second Owner,250000
Toyota,2011,120000,Diesel,Individual,Manual,First Owner,520000
Hyundai,2018,30000,Diesel,Individual,Automatic,First Owner,1100000
Toyota,2005,223000,Diesel,Individual,Manual,First Owner,200000
Maruti,2016,60000,Diesel,Individual,Manual,First Owner,525000
Hyundai,2016,40000,Petrol,Individual,Manual,First Owner,500000
Mahindra,2016,161327,Diesel,Individual,Manual,First Owner,675000
Hyundai,2009,60000,Petrol,Individual,Manual,Third Owner,150000
Mahindra,2007,50000,Diesel,Individual,Manual,First Owner,250000
Hyundai,2018,6000,Petrol,Individual,Manual,First Owner,450000
Hyundai,2009,68000,Petrol,Individual,Manual,Second Owner,150000
Chevrolet,2012,85000,Diesel,Individual,Manual,First Owner,200000
Mahindra,2011,70000,Diesel,Individual,Automatic,First Owner,525000
Maruti,1999,35000,Petrol,Individual,Manual,Second Owner,60000
Maruti,2010,100000,Diesel,Individual,Manual,Second Owner,180000
Honda,2015,110000,Diesel,Individual,Manual,First Owner,475000
Mahindra,2010,195000,Diesel,Individual,Automatic,Second Owner,380000
Maruti,2015,46000,Petrol,Individual,Manual,Second Owner,285000
Maruti,2008,60000,Petrol,Individual,Manual,Second Owner,91200
Datsun,2017,46000,Petrol,Individual,Manual,First Owner,250000
Hyundai,2015,42000,Diesel,Individual,Manual,First Owner,400000
Hyundai,2006,90000,Petrol,Individual,Automatic,Second Owner,160000
Skoda,2012,85000,Diesel,Individual,Manual,Second Owner,650000
Hyundai,2012,120000,Diesel,Individual,Manual,Third Owner,409999
Ford,2013,72000,Diesel,Individual,Manual,First Owner,425000
Maruti,2013,71000,CNG,Individual,Manual,Second Owner,250000
Maruti,2009,110000,Petrol,Individual,Manual,Fourth & Above Owner,200000
Maruti,2013,71000,CNG,Individual,Manual,Second Owner,250000
Volkswagen,2010,144000,Diesel,Individual,Manual,Fourth & Above Owner,130000
Maruti,2017,30000,Petrol,Dealer,Manual,First Owner,260000
Hyundai,2007,65000,Petrol,Dealer,Manual,First Owner,155000
Honda,2015,38000,Diesel,Individual,Manual,First Owner,450000
Maruti,2012,90000,Petrol,Individual,Manual,Second Owner,220000
Hyundai,2018,37000,Diesel,Dealer,Manual,First Owner,650000
Maruti,2018,30000,Petrol,Dealer,Manual,First Owner,285000
Honda,2018,26000,Petrol,Dealer,Automatic,First Owner,725000
Maruti,2016,30000,Petrol,Dealer,Manual,First Owner,625000
Hyundai,2016,23000,Petrol,Dealer,Manual,First Owner,550000
Hyundai,2012,40000,Petrol,Dealer,Manual,First Owner,240000
Nissan,2014,27000,Diesel,Dealer,Manual,First Owner,600000
Tata,2012,65000,Diesel,Dealer,Manual,First Owner,350000
Hyundai,2015,32000,Petrol,Dealer,Manual,First Owner,245000
Mahindra,2016,56000,Diesel,Dealer,Manual,First Owner,600000
BMW,2017,30000,Diesel,Individual,Automatic,First Owner,2400000
Mahindra,2014,80000,Diesel,Dealer,Manual,First Owner,620000
Maruti,2014,52000,Petrol,Dealer,Manual,Second Owner,395000
Maruti,2014,13250,Petrol,Dealer,Manual,First Owner,635000
Maruti,2011,36000,Petrol,Dealer,Manual,First Owner,180000
Maruti,2015,73000,Diesel,Dealer,Manual,Second Owner,484999
Maruti,2004,60000,Petrol,Individual,Manual,First Owner,110000
Maruti,2006,60000,Petrol,Individual,Manual,Second Owner,150000
Chevrolet,2012,110000,Diesel,Individual,Manual,First Owner,400000
Tata,2012,70000,Diesel,Individual,Manual,Second Owner,200000
Renault,2013,60000,Diesel,Individual,Manual,Second Owner,302000
Maruti,2011,90000,Diesel,Individual,Manual,Fourth & Above Owner,215000
Maruti,2004,80000,Petrol,Individual,Manual,Second Owner,155000
Toyota,2014,101000,Diesel,Individual,Manual,Second Owner,1000000
Mahindra,2018,44000,Diesel,Individual,Manual,First Owner,550000
Maruti,2006,45000,Petrol,Individual,Manual,First Owner,200000
Mahindra,2017,120000,Diesel,Individual,Manual,First Owner,750000
Maruti,2005,90000,Petrol,Individual,Manual,Second Owner,90000
Maruti,2007,120000,Petrol,Individual,Manual,Second Owner,80000
Hyundai,2013,13500,Petrol,Individual,Manual,First Owner,229999
Renault,2017,10000,Petrol,Individual,Manual,First Owner,350000
Hyundai,2015,25000,Petrol,Individual,Manual,Third Owner,325000
Tata,2018,8500,Petrol,Individual,Manual,First Owner,450000
Maruti,2012,120000,Diesel,Individual,Manual,First Owner,250000
Volkswagen,2012,120000,Diesel,Individual,Manual,First Owner,225000
Maruti,2009,90246,Petrol,Individual,Manual,Third Owner,150000
Maruti,2008,90000,Petrol,Individual,Manual,Second Owner,110000
Maruti,2010,40000,Petrol,Individual,Manual,Second Owner,150000
Maruti,2000,60000,Petrol,Individual,Manual,Fourth & Above Owner,165000
Renault,2017,32000,Diesel,Individual,Manual,Second Owner,610000
Tata,2013,60400,Diesel,Individual,Manual,First Owner,170000
Hyundai,2008,70950,Diesel,Individual,Manual,Second Owner,150000
Hyundai,2013,90000,Diesel,Individual,Manual,First Owner,300000
Hyundai,2015,72000,Diesel,Individual,Manual,First Owner,375000
Maruti,2013,90000,Diesel,Individual,Manual,First Owner,390000
Hyundai,2017,10000,Petrol,Individual,Manual,First Owner,600000
Maruti,2014,25000,Petrol,Individual,Manual,Second Owner,204999
Hyundai,2009,80000,Diesel,Individual,Manual,Second Owner,270000
Hyundai,2017,10000,Petrol,Individual,Manual,First Owner,375000
Maruti,2020,1100,Petrol,Individual,Manual,First Owner,700000
Maruti,2017,40000,Petrol,Individual,Manual,First Owner,455000
Hyundai,2017,10000,Petrol,Individual,Manual,First Owner,375000
Hyundai,2014,31491,Petrol,Individual,Manual,First Owner,341000
Maruti,2014,107143,Diesel,Individual,Manual,Second Owner,200000
Maruti,2017,15000,Petrol,Individual,Automatic,First Owner,450000
Hyundai,2012,50000,Petrol,Individual,Manual,Second Owner,170000
Toyota,2017,100000,Diesel,Individual,Manual,First Owner,1900000
Mahindra,2016,60000,Diesel,Individual,Manual,First Owner,500000
Maruti,2016,85000,Diesel,Individual,Manual,First Owner,819999
Maruti,2014,40000,Petrol,Individual,Manual,Second Owner,351000
Hyundai,2011,80000,Petrol,Individual,Manual,Second Owner,195000
Maruti,2008,82000,Diesel,Individual,Manual,Second Owner,250000
Maruti,2008,70000,Petrol,Individual,Manual,Second Owner,120000
Maruti,2009,70000,Petrol,Individual,Manual,Third Owner,180000
Mahindra,2016,20000,Diesel,Individual,Manual,First Owner,430000
Tata,2012,35000,Petrol,Individual,Manual,Second Owner,75000
Mahindra,2017,80000,Diesel,Individual,Manual,First Owner,750000
Tata,2011,40000,Petrol,Individual,Manual,First Owner,60000
Toyota,2015,46412,Diesel,Individual,Manual,First Owner,1500000
Mahindra,2011,150000,Diesel,Individual,Manual,Fourth & Above Owner,390000
Mahindra,2016,50000,Diesel,Individual,Manual,First Owner,630000
Tata,2018,15000,Diesel,Individual,Manual,First Owner,1085000
Hyundai,2012,60000,Petrol,Individual,Manual,Second Owner,190000
Maruti,2018,25000,Petrol,Individual,Automatic,First Owner,550000
Maruti,2012,90000,Petrol,Individual,Manual,Third Owner,200000
Chevrolet,2011,60000,Petrol,Individual,Manual,First Owner,165000
Ford,2013,65000,Diesel,Individual,Manual,First Owner,260000
Maruti,2011,40000,Petrol,Individual,Manual,First Owner,151000
Maruti,2018,50000,Diesel,Individual,Manual,First Owner,780000
Tata,2012,80000,Diesel,Individual,Manual,Third Owner,175000
Tata,2010,107500,Diesel,Dealer,Manual,First Owner,170000
Tata,2013,135000,Diesel,Dealer,Manual,Second Owner,210000
Maruti,2007,43826,Petrol,Dealer,Manual,Second Owner,90000
Hyundai,2016,55838,Petrol,Dealer,Manual,First Owner,535000
Maruti,2007,112880,Diesel,Dealer,Manual,First Owner,195000
Tata,2011,90000,Diesel,Individual,Manual,Third Owner,140000
Nissan,2012,40000,Petrol,Individual,Manual,First Owner,350000
Hyundai,2013,66000,Petrol,Individual,Manual,First Owner,425000
Renault,2017,30300,Petrol,Individual,Manual,First Owner,300000
Volkswagen,2013,85000,Diesel,Individual,Manual,Second Owner,340000
Maruti,2009,80659,Petrol,Dealer,Manual,First Owner,250000
Chevrolet,2008,81324,Petrol,Dealer,Manual,First Owner,170000
Honda,2013,127884,Diesel,Dealer,Manual,First Owner,315000
Chevrolet,2015,50000,Petrol,Individual,Manual,First Owner,200000
Chevrolet,2016,25000,Petrol,Individual,Manual,First Owner,300000
Honda,2015,66755,Diesel,Dealer,Manual,First Owner,300000
Honda,2013,123084,Petrol,Dealer,Manual,First Owner,380000
Maruti,2009,806599,Petrol,Dealer,Manual,First Owner,250000
Honda,2013,95851,Diesel,Dealer,Manual,First Owner,310000
Maruti,2010,50000,Petrol,Individual,Manual,First Owner,260000
Maruti,2008,50000,Petrol,Individual,Manual,Second Owner,150000
Maruti,2006,60000,Petrol,Individual,Manual,Second Owner,85000
Maruti,2015,15000,Petrol,Individual,Manual,Second Owner,280000
Mahindra,2016,40000,Diesel,Individual,Manual,First Owner,850000
Datsun,2017,20000,Petrol,Individual,Manual,Second Owner,375000
Hyundai,2006,120000,Diesel,Individual,Manual,Third Owner,125000
Chevrolet,2012,110000,Diesel,Individual,Manual,First Owner,250000
Toyota,2014,234000,Diesel,Individual,Manual,First Owner,715000
Hyundai,2011,70000,Diesel,Individual,Manual,First Owner,220000
Tata,2010,110000,Diesel,Individual,Manual,Second Owner,110000
Hyundai,2007,84000,Petrol,Individual,Manual,Second Owner,150000
Nissan,2012,170000,Diesel,Individual,Manual,First Owner,300000
Datsun,2017,40000,Petrol,Individual,Manual,First Owner,220000
Maruti,2006,96000,Petrol,Individual,Manual,Second Owner,75000
Tata,2009,20000,Diesel,Individual,Manual,First Owner,100000
Ford,2016,15000,Petrol,Individual,Manual,First Owner,380000
Hyundai,2007,50000,Petrol,Individual,Manual,First Owner,100000
Volkswagen,2010,80000,Petrol,Individual,Manual,Second Owner,480000
Toyota,2012,124000,Diesel,Individual,Manual,First Owner,300000
Chevrolet,2013,70000,Diesel,Individual,Manual,First Owner,190000
Ford,2012,130000,Diesel,Individual,Manual,Second Owner,190000
Ford,2017,19014,Petrol,Dealer,Manual,First Owner,650000
Toyota,2009,23262,Petrol,Dealer,Manual,First Owner,300000
Ford,2016,29600,Diesel,Dealer,Manual,First Owner,700000
Hyundai,2015,35925,Petrol,Dealer,Manual,First Owner,310000
Maruti,2018,12000,Petrol,Individual,Manual,First Owner,500000
Toyota,2013,40771,Petrol,Dealer,Manual,First Owner,415000
Maruti,2015,30500,Petrol,Dealer,Automatic,Second Owner,395000
Toyota,2014,42000,Petrol,Dealer,Manual,Second Owner,430000
Toyota,2007,55800,Petrol,Dealer,Manual,Second Owner,215000
Renault,2014,66569,Diesel,Dealer,Manual,First Owner,550000
Volkswagen,2014,81358,Diesel,Dealer,Manual,First Owner,415000
Volkswagen,2015,82695,Diesel,Dealer,Manual,First Owner,450000
Ford,2014,68293,Diesel,Dealer,Manual,Second Owner,285000
Honda,2016,32000,Petrol,Dealer,Automatic,First Owner,580000
Maruti,2014,190621,Diesel,Dealer,Manual,First Owner,300000
Hyundai,2018,60000,Diesel,Individual,Manual,First Owner,1200000
Maruti,2006,64700,Petrol,Individual,Manual,First Owner,78000
Maruti,2002,100000,Petrol,Individual,Manual,Second Owner,65000
Tata,2016,88470,Diesel,Individual,Manual,First Owner,400000
Hyundai,2016,75000,Diesel,Individual,Manual,First Owner,850000
Volkswagen,2013,120000,Diesel,Individual,Manual,Second Owner,450000
Mercedes-Benz,2012,35000,Diesel,Individual,Automatic,First Owner,2500000
Toyota,2017,70000,Diesel,Individual,Manual,First Owner,780000
Toyota,2017,57000,Diesel,Individual,Automatic,First Owner,3200000
Maruti,2020,1000,Petrol,Individual,Manual,First Owner,350000
Mahindra,2013,120000,Diesel,Individual,Manual,Second Owner,285000
Volkswagen,2015,98000,Diesel,Dealer,Manual,First Owner,525000
Maruti,2014,90000,Diesel,Dealer,Manual,Second Owner,550000
Volkswagen,2018,70000,Diesel,Individual,Manual,First Owner,580000
Tata,2013,25000,Petrol,Individual,Manual,Third Owner,75000
Tata,2009,60000,Diesel,Individual,Manual,Third Owner,185000
Maruti,2007,90000,Petrol,Individual,Manual,Fourth & Above Owner,110000
Honda,2004,200000,Petrol,Individual,Manual,Second Owner,180000
Volkswagen,2010,110000,Diesel,Individual,Manual,Second Owner,350000
Chevrolet,2005,126000,Petrol,Individual,Manual,Second Owner,60000
Mahindra,2018,70000,Diesel,Individual,Manual,First Owner,695000
Mahindra,2019,5000,Diesel,Individual,Automatic,First Owner,2700000
Maruti,2007,74183,Petrol,Individual,Manual,Second Owner,135000
Mahindra,2015,70000,Diesel,Individual,Manual,Second Owner,640000
Maruti,2014,90000,Petrol,Individual,Manual,First Owner,160000
Tata,2004,46000,Petrol,Individual,Manual,Second Owner,80000
Maruti,2013,110000,Diesel,Individual,Manual,Second Owner,340000
Maruti,2012,80000,Diesel,Individual,Manual,Second Owner,110000
Tata,2013,90000,Diesel,Individual,Manual,Second Owner,250000
Toyota,2017,70000,Diesel,Individual,Manual,First Owner,1300000
Mahindra,2014,1,Diesel,Individual,Manual,Second Owner,250000
Toyota,2009,192000,Diesel,Individual,Manual,First Owner,450000
Maruti,2013,70000,Petrol,Individual,Manual,Fourth & Above Owner,240000
Mahindra,2007,120000,Diesel,Individual,Manual,Second Owner,225000
Maruti,2015,60000,Petrol,Individual,Manual,Second Owner,275000
Tata,2012,120000,Diesel,Individual,Manual,Second Owner,320000
Maruti,2008,120000,Petrol,Individual,Manual,First Owner,75000
Tata,2007,50000,Petrol,Individual,Manual,Second Owner,85000
Tata,2009,120000,Diesel,Individual,Manual,First Owner,90000
Maruti,2007,80000,Petrol,Individual,Manual,Second Owner,85000
Mahindra,2008,80000,Diesel,Individual,Manual,Second Owner,350000
Skoda,2009,100000,Diesel,Individual,Automatic,Second Owner,355000
Maruti,2020,1500,Petrol,Individual,Manual,First Owner,619000
Jeep,2018,50000,Diesel,Individual,Manual,First Owner,1700000
Tata,2006,100000,Diesel,Individual,Manual,Second Owner,55000
Ford,2006,83411,Petrol,Individual,Manual,First Owner,95000
Volkswagen,2011,120000,Diesel,Individual,Manual,Second Owner,300000
Ford,2006,83411,Petrol,Individual,Manual,First Owner,81000
Skoda,2015,80000,Diesel,Individual,Automatic,Second Owner,1000000
Maruti,2019,50000,Diesel,Individual,Manual,First Owner,925000
Mahindra,2015,40000,Diesel,Individual,Manual,First Owner,450000
Mahindra,2014,13270,Diesel,Individual,Manual,First Owner,600000
Hyundai,2006,100000,Petrol,Individual,Automatic,Third Owner,85000
Mahindra,2016,50000,Diesel,Individual,Manual,First Owner,700000
Hyundai,2017,26500,Petrol,Individual,Manual,First Owner,486000
Maruti,2013,90000,Diesel,Individual,Manual,First Owner,400000
Ford,2008,100000,Petrol,Individual,Manual,Third Owner,120000
Maruti,2018,35000,Petrol,Individual,Manual,First Owner,275000
Hyundai,2016,57000,Diesel,Individual,Manual,First Owner,580000
Maruti,2015,70000,Petrol,Individual,Manual,First Owner,375000
Maruti,2015,100000,Petrol,Individual,Manual,Third Owner,229999
Maruti,2010,88000,Petrol,Individual,Manual,Second Owner,110000
Maruti,2017,60000,Diesel,Individual,Manual,First Owner,600000
Maruti,2009,76000,Petrol,Individual,Manual,Second Owner,120000
Ford,2010,100000,Diesel,Individual,Manual,Second Owner,200000
Hyundai,2012,110000,Diesel,Individual,Manual,Second Owner,450000
Hyundai,2012,80000,Diesel,Individual,Manual,Second Owner,550000
Maruti,2012,80000,Petrol,Individual,Manual,Second Owner,220000
Maruti,2001,30000,Petrol,Individual,Manual,First Owner,40000
Renault,2017,20000,Petrol,Individual,Automatic,First Owner,300000
Mahindra,2018,40000,Diesel,Individual,Manual,First Owner,630000
Maruti,2017,40000,Diesel,Individual,Manual,Second Owner,610000
Hyundai,2019,7000,Petrol,Individual,Manual,Second Owner,660000
Maruti,2012,80000,LPG,Individual,Manual,Second Owner,220000
Nissan,2011,90000,Diesel,Individual,Manual,Second Owner,138000
Nissan,2013,13770,Diesel,Individual,Manual,First Owner,210000
Maruti,2005,34000,Petrol,Dealer,Manual,First Owner,125000
Maruti,2008,102000,Petrol,Dealer,Manual,First Owner,125000
Honda,2014,110000,Diesel,Individual,Manual,First Owner,725000
Maruti,2011,90000,Petrol,Individual,Manual,Second Owner,170000
Toyota,2015,70000,Diesel,Individual,Manual,Third Owner,1200000
Maruti,2003,90000,Petrol,Individual,Manual,Second Owner,70000
Maruti,2007,70000,Petrol,Individual,Manual,Second Owner,100000
Honda,2006,80000,Petrol,Individual,Manual,Second Owner,300000
Maruti,2013,100000,Diesel,Individual,Manual,Second Owner,450000
Maruti,2015,100000,Diesel,Individual,Manual,First Owner,530000
Maruti,2007,143000,Petrol,Individual,Manual,Third Owner,100000
Honda,2010,115000,Petrol,Individual,Manual,Second Owner,350000
Tata,2011,100000,Diesel,Individual,Manual,Second Owner,165000
Maruti,2019,120000,Diesel,Individual,Manual,Second Owner,475000
Mahindra,2013,42000,Diesel,Individual,Manual,First Owner,350000
Renault,2016,38000,Petrol,Individual,Manual,First Owner,229999
Honda,2018,35000,Diesel,Individual,Manual,First Owner,800000
Maruti,2014,120000,Diesel,Individual,Manual,Second Owner,475000
Nissan,2014,136906,Diesel,Individual,Manual,First Owner,425000
Maruti,2015,97000,Diesel,Individual,Manual,Second Owner,660000
Honda,2019,10000,Petrol,Individual,Automatic,First Owner,610000
Honda,2013,50000,Petrol,Individual,Manual,Third Owner,240000
Maruti,2005,60000,Petrol,Individual,Manual,Second Owner,70000
Toyota,2011,120000,Diesel,Individual,Manual,First Owner,550000
Tata,2010,120000,Petrol,Individual,Manual,Second Owner,100000
Mahindra,2010,90000,Diesel,Individual,Manual,Second Owner,350000
Hyundai,2013,120000,Petrol,Individual,Manual,First Owner,200000
Hyundai,2019,3000,Petrol,Individual,Automatic,First Owner,720000
Maruti,2014,133000,Diesel,Individual,Manual,First Owner,350000
Maruti,2016,25000,Petrol,Individual,Manual,First Owner,400000
Hyundai,2017,35000,Petrol,Individual,Manual,First Owner,570000
Maruti,2015,70000,Petrol,Individual,Manual,First Owner,130000
Maruti,2016,52000,Petrol,Individual,Manual,First Owner,210000
Hyundai,2018,52000,Diesel,Individual,Manual,First Owner,800000
Honda,2017,39000,Diesel,Individual,Manual,First Owner,700000
Tata,2011,28689,Diesel,Individual,Manual,First Owner,200000
Tata,2014,90000,Diesel,Individual,Manual,Second Owner,495000
Ford,2014,80322,Diesel,Dealer,Manual,First Owner,325000
Ford,2019,8000,Petrol,Individual,Manual,First Owner,650000
Mahindra,2000,50000,Diesel,Individual,Manual,Second Owner,155000
Maruti,2007,90000,Petrol,Individual,Manual,Second Owner,75000
Hyundai,2015,61658,Diesel,Dealer,Manual,First Owner,350000
Maruti,2010,50000,Petrol,Individual,Manual,Third Owner,90000
Maruti,2016,80000,Diesel,Individual,Manual,First Owner,600000
Mahindra,2010,185000,Diesel,Individual,Manual,First Owner,400000
Maruti,2014,57000,Diesel,Individual,Manual,Second Owner,370000
Maruti,2000,60000,Petrol,Individual,Manual,First Owner,50000
Honda,2004,120000,Petrol,Individual,Manual,Second Owner,125000
Honda,2018,26000,Diesel,Individual,Automatic,First Owner,1800000
Hyundai,2019,20000,Petrol,Individual,Automatic,First Owner,650000
Maruti,2017,30600,Petrol,Individual,Automatic,First Owner,800000
Volkswagen,2020,5000,Petrol,Individual,Manual,First Owner,802000
Audi,2015,35000,Diesel,Individual,Automatic,Third Owner,2300000
Hyundai,2016,35000,Diesel,Individual,Manual,First Owner,430000
Hyundai,2017,23000,Petrol,Individual,Manual,First Owner,650000
Mahindra,2004,120000,Diesel,Individual,Manual,First Owner,170000
Skoda,2011,235000,Diesel,Individual,Automatic,First Owner,450000
Maruti,2013,87000,Petrol,Individual,Manual,First Owner,250000
Ford,2014,72000,Petrol,Individual,Manual,Second Owner,550000
Jaguar,2013,64000,Diesel,Individual,Automatic,Second Owner,2000000
Maruti,2007,100000,Petrol,Individual,Manual,Second Owner,140000
Chevrolet,2012,12000,Petrol,Individual,Manual,First Owner,155000
Hyundai,2010,67000,Petrol,Individual,Manual,Third Owner,120000
Toyota,2012,70000,Diesel,Individual,Manual,First Owner,287000
Maruti,2016,60000,Diesel,Individual,Manual,First Owner,675000
Hyundai,2011,74500,Petrol,Individual,Manual,Second Owner,235000
Hyundai,2011,118700,Diesel,Individual,Manual,Second Owner,300000
Nissan,2015,40000,Petrol,Individual,Automatic,Second Owner,434999
Mahindra,2004,223660,Diesel,Individual,Automatic,Third Owner,225000
Toyota,2006,140000,Petrol,Individual,Manual,Second Owner,160000
Hyundai,2020,5000,Petrol,Individual,Manual,First Owner,600000
Chevrolet,2016,100000,Diesel,Individual,Manual,Second Owner,470000
Maruti,2011,100000,Petrol,Individual,Manual,Second Owner,300000
Maruti,2018,2000,Petrol,Individual,Manual,First Owner,600000
Hyundai,2020,4000,Petrol,Individual,Automatic,First Owner,640000
Tata,2006,120000,Diesel,Individual,Manual,Fourth & Above Owner,50000
Hyundai,2015,35000,Petrol,Individual,Manual,First Owner,600000
Hyundai,2014,29000,LPG,Individual,Manual,First Owner,290000
Hyundai,2015,30000,Petrol,Individual,Manual,First Owner,600000
Tata,2012,120000,Diesel,Individual,Manual,First Owner,190000
Hyundai,2008,110000,Petrol,Individual,Manual,Third Owner,160000
Maruti,2017,15000,Petrol,Individual,Manual,First Owner,325000
Mahindra,2006,73756,Diesel,Individual,Manual,First Owner,200000
Toyota,2018,40000,Diesel,Individual,Automatic,First Owner,2800000
Chevrolet,2011,60000,Petrol,Individual,Manual,Third Owner,125000
Hyundai,2008,60000,Petrol,Individual,Manual,Fourth & Above Owner,155000
Hyundai,2015,90000,Diesel,Individual,Manual,First Owner,550000
Maruti,2009,70000,Petrol,Individual,Manual,Fourth & Above Owner,130000
Maruti,2002,70000,Petrol,Individual,Manual,Second Owner,80000
Toyota,2015,80000,Diesel,Individual,Manual,Second Owner,500000
Renault,2019,27000,Petrol,Individual,Manual,First Owner,250000
Mahindra,2012,70000,Diesel,Individual,Manual,First Owner,580000
Daewoo,2002,50000,Petrol,Individual,Manual,First Owner,60000
Toyota,2012,185000,Diesel,Individual,Manual,First Owner,300000
Ford,2014,90000,Diesel,Individual,Manual,Second Owner,200000
Tata,2017,16400,Diesel,Individual,Manual,First Owner,1200000
Toyota,2015,80000,Diesel,Individual,Manual,Second Owner,350000
Mahindra,2012,80000,Diesel,Individual,Manual,Second Owner,600000
Honda,2019,4000,Petrol,Individual,Manual,First Owner,650000
Maruti,2008,40000,Petrol,Individual,Manual,First Owner,120000
Tata,2010,120000,Diesel,Individual,Manual,Second Owner,180000
Hyundai,2018,41395,Petrol,Individual,Automatic,First Owner,950000
Tata,2012,35000,Diesel,Individual,Manual,Second Owner,250999
Skoda,2012,52000,Diesel,Dealer,Manual,First Owner,385000
Audi,2009,47000,Diesel,Dealer,Automatic,Second Owner,1250000
Chevrolet,2013,50000,Petrol,Individual,Manual,First Owner,165000
Hyundai,2015,48000,Petrol,Dealer,Manual,First Owner,700000
Mahindra,2015,53000,Diesel,Dealer,Manual,First Owner,750000
Mahindra,2008,213000,Diesel,Individual,Manual,First Owner,89999
Datsun,2018,15000,Petrol,Dealer,Automatic,First Owner,290000
Tata,2014,7000,Petrol,Individual,Manual,Second Owner,45000
Skoda,2013,88000,Diesel,Dealer,Automatic,First Owner,675000
Nissan,2015,55000,Diesel,Dealer,Manual,First Owner,530000
BMW,2014,48000,Diesel,Dealer,Automatic,First Owner,1485000
Chevrolet,2014,71014,Diesel,Dealer,Manual,First Owner,325000
Honda,2015,60000,Diesel,Dealer,Manual,First Owner,400000
Mahindra,2017,71000,Diesel,Dealer,Manual,First Owner,380000
Honda,2016,45000,Petrol,Dealer,Automatic,First Owner,750000
Honda,2017,45000,Petrol,Dealer,Manual,First Owner,390000
Maruti,2009,20000,Petrol,Individual,Manual,First Owner,110000
MG,2019,14000,Diesel,Dealer,Manual,First Owner,1825000
Audi,2019,17000,Diesel,Dealer,Automatic,First Owner,3256000
Renault,2015,60000,Diesel,Dealer,Manual,First Owner,370000
Chevrolet,2013,80000,Diesel,Individual,Manual,Second Owner,210000
Skoda,2007,181000,Diesel,Individual,Manual,Fourth & Above Owner,175000
Hyundai,2012,89550,Diesel,Individual,Manual,Second Owner,575000
Mahindra,2010,90000,Diesel,Individual,Manual,Third Owner,320000
Maruti,2010,149500,Diesel,Individual,Manual,Third Owner,280000
Renault,2013,190000,Diesel,Individual,Manual,Second Owner,500000
Ford,2013,83000,Diesel,Dealer,Manual,First Owner,380000
Maruti,2005,20000,Petrol,Individual,Manual,Second Owner,120000
Maruti,2018,20000,Petrol,Individual,Manual,First Owner,395000
Skoda,2010,160000,Diesel,Individual,Manual,First Owner,360000
Nissan,2015,100000,Diesel,Individual,Manual,First Owner,451000
Chevrolet,2010,45000,Petrol,Individual,Manual,Second Owner,175000
Chevrolet,2009,44800,Petrol,Individual,Manual,Second Owner,170000
